<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
ROSN;D;201214;000000;449;459.4;438.6;441.8;10343570
ROSN;D;201215;000000;438.95;451.5;435.85;451.5;8229620
ROSN;D;201216;000000;451.5;456.4;437.5;444.4;9847650
ROSN;D;201217;000000;445.5;447.95;438.8;442.65;9207790
ROSN;D;201218;000000;441.85;443.95;438.9;440.65;8758360
ROSN;D;201221;000000;435.1;437.4;417.45;423.95;13025190
ROSN;D;201222;000000;419.05;435.45;417.75;430.7;7578620
ROSN;D;201223;000000;429.95;434.5;427;430.15;5233820
ROSN;D;201224;000000;431.35;438;429.2;436.35;3406800
ROSN;D;201225;000000;437.95;437.95;433;436.25;1038930
ROSN;D;201228;000000;436.5;439.95;434.35;435.65;2020410
ROSN;D;201229;000000;437.45;438.85;430.15;434.6;3298800
ROSN;D;201230;000000;435.65;438.45;433.4;435.1;5079040
ROSN;D;210104;000000;435.85;442.6;433;436;6387860
ROSN;D;210105;000000;436.05;450.7;433.3;449.35;6724540
ROSN;D;210106;000000;449.45;454.65;443.7;453.7;8220600
ROSN;D;210108;000000;465.2;481;463.8;478.2;12695070
ROSN;D;210111;000000;474.55;480.1;464;473.25;8789190
ROSN;D;210112;000000;475;479.2;466.25;474.4;7081940
ROSN;D;210113;000000;477;493.95;476.25;485.95;15288640
ROSN;D;210114;000000;485.75;505.65;484.05;505;15394440
ROSN;D;210115;000000;502.9;519.65;498.2;512.2;17888660
ROSN;D;210118;000000;509.8;519;505.25;516.5;10712490
ROSN;D;210119;000000;518.8;524.8;506.65;510.7;12517910
ROSN;D;210120;000000;510.9;514.7;507.55;510.65;4873080
ROSN;D;210121;000000;509.35;512.7;495.65;498;9246850
ROSN;D;210122;000000;494.8;495;485;494.25;8705980
ROSN;D;210125;000000;494.35;502.8;485.4;495.6;7532280
ROSN;D;210126;000000;493.1;498.25;488.1;493.95;4496630
ROSN;D;210127;000000;495.1;497.9;480.55;481.25;9576050
ROSN;D;210128;000000;479.8;485.65;475;483.4;6058190
ROSN;D;210129;000000;480.55;482.45;472;473;5551670
ROSN;D;210201;000000;475.2;478.9;469.5;478.35;6888020
ROSN;D;210202;000000;481.15;488.8;479;482;10407770
ROSN;D;210203;000000;487.65;494.2;482.15;489.95;7491510
ROSN;D;210204;000000;490.4;497.05;484.2;489.2;7943360
ROSN;D;210205;000000;492.45;496.75;490.35;493.95;7633720
ROSN;D;210208;000000;496.05;503.25;496.05;501.75;7730520
ROSN;D;210209;000000;503.8;505;492.4;494.8;6755720
ROSN;D;210210;000000;497.45;498.25;489.35;491.45;5608620
ROSN;D;210211;000000;490.35;501.7;488.15;496.8;6677070
ROSN;D;210212;000000;496.8;509.35;488.6;509.35;11944760
ROSN;D;210215;000000;513;522.45;508.2;521.45;8808290
ROSN;D;210216;000000;522.5;529.4;520.5;525.6;8703560
ROSN;D;210217;000000;524.9;528.15;505.7;515.15;11446210
ROSN;D;210218;000000;514.15;517.65;505.5;506.85;9681490
ROSN;D;210219;000000;505.8;515.15;504;512.75;7455920
ROSN;D;210220;000000;512.5;514;509.05;513.15;909640
ROSN;D;210222;000000;514.05;518.9;509.1;516;4532080
ROSN;D;210224;000000;511.75;518.7;511.15;518.25;6755490
ROSN;D;210225;000000;519.45;536.35;517.95;529.35;13381440
ROSN;D;210226;000000;525.7;533.2;520.45;523.35;10083590
ROSN;D;210301;000000;527.55;530;521.45;524.1;4862650
ROSN;D;210302;000000;519.55;529.85;518.85;526;4799200
ROSN;D;210303;000000;528.85;536.45;527.6;533.8;5959660
ROSN;D;210304;000000;535.2;549.7;533.2;540.1;12456910
ROSN;D;210305;000000;543;561.95;541.55;561;13674760
ROSN;D;210309;000000;558.95;581.45;556;570.6;14348590
ROSN;D;210310;000000;568.55;573.5;557;561.15;9579490
ROSN;D;210311;000000;563.15;572;563.1;572;9568100
ROSN;D;210312;000000;572.75;574.7;566.4;572.25;5931120
ROSN;D;210315;000000;573.2;580.75;572;576.4;9924110
ROSN;D;210316;000000;574.65;577.95;559.3;571.2;17699060
ROSN;D;210317;000000;571.2;574.1;551.25;555.85;15227090
ROSN;D;210318;000000;556.2;559.5;541;544.05;12354360
ROSN;D;210319;000000;542.8;560.95;541.6;560.3;9317510
ROSN;D;210322;000000;558.35;566.9;555.55;562.65;7502970
ROSN;D;210323;000000;560.3;573.45;556.55;565.1;8302870
ROSN;D;210324;000000;566.95;577;564.25;568.05;7805500
ROSN;D;210325;000000;568.6;574.7;566.45;574.65;6834050
ROSN;D;210326;000000;576.05;585.15;575.85;582.2;10211450
ROSN;D;210329;000000;579.5;584.25;572;575.3;8310250
ROSN;D;210330;000000;576.3;579.2;565.3;570.25;6151980
ROSN;D;210331;000000;571;574.95;567.1;572.6;9089920
ROSN;D;210401;000000;574.1;576.75;561.4;568.9;11593270
ROSN;D;210402;000000;568.9;569.9;565.6;566.65;1029300
ROSN;D;210405;000000;567.1;567.75;557.25;560.15;3133260
ROSN;D;210406;000000;562.3;563.15;545.45;547.55;5960860
ROSN;D;210407;000000;547.5;555.55;543.25;551.5;6156110
ROSN;D;210408;000000;549.9;554.8;545.15;549.3;4636060
ROSN;D;210409;000000;547.65;548.7;536.05;538;6256000
ROSN;D;210412;000000;535.2;541.35;532.5;540.15;6139660
ROSN;D;210413;000000;541.3;552.25;534.55;551.95;4892780
